Area Name,Total,Hispanic,"White, NH","Black, NH","American Indian
 Alaska Native, NH","Asian & Pacific Islander, NH","All Others, Including Two or More Races, NH",GEOID,FIPS
Alamance,"171,415","24,703","102,487","33,555",584,"2,897","7,189",0500000US37001,1
Alexander,"36,444","1,836","30,893","1,919",111,391,"1,294",0500000US37003,3
Alleghany,"10,888","1,288","9,186",103,35,21,255,0500000US37005,5
Anson,"22,055",665,"10,593","9,838",89,225,645,0500000US37007,7
Ashe,"26,577","1,519","24,028",125,48,114,743,0500000US37009,9
Avery,"17,806",987,"15,549",649,58,57,506,0500000US37011,11
Beaufort,"44,652","3,433","29,431","10,195",90,180,"1,323",0500000US37013,13
Bertie,"17,934",330,"6,298","10,674",57,63,512,0500000US37015,15
Bladen,"29,606","2,546","15,830","9,505",701,55,969,0500000US37017,17
Brunswick,"136,693","7,420","110,716","11,392",743,965,"5,457",0500000US37019,19
Buncombe,"269,452","21,922","214,862","15,017",727,"3,741","13,183",0500000US37021,21
Burke,"87,570","7,184","68,664","4,762",238,"3,214","3,508",0500000US37023,23
Cabarrus,"225,804","27,263","133,781","41,687",598,"12,055","10,420",0500000US37025,25
Caldwell,"80,652","4,923","67,868","3,843",196,542,"3,280",0500000US37027,27
Camden,"10,355",340,"8,200","1,049",40,119,607,0500000US37029,29
Carteret,"67,686","3,119","57,538","3,208",252,647,"2,922",0500000US37031,31
Caswell,"22,736","1,002","14,036","6,804",65,74,755,0500000US37033,33
Catawba,"160,610","17,377","116,120","12,628",379,"7,015","7,091",0500000US37035,35
Chatham,"76,285","10,372","53,087","7,768",173,"1,640","3,245",0500000US37037,37
Cherokee,"28,774",899,"25,366",373,417,158,"1,561",0500000US37039,39
Chowan,"13,708",530,"8,268","4,376",43,40,451,0500000US37041,41
Clay,"11,089",438,"10,044",60,44,47,456,0500000US37043,43
Cleveland,"99,519","4,039","70,163","20,034",222,877,"4,184",0500000US37045,45
Columbus,"50,623","2,613","30,019","14,503","1,670",166,"1,652",0500000US37047,47
Craven,"100,720","7,195","64,933","19,903",318,"3,209","5,162",0500000US37049,49
Cumberland,"334,728","39,498","133,201","124,173","4,647","10,300","22,909",0500000US37051,51
Currituck,"28,100","1,218","23,505","1,377",98,287,"1,615",0500000US37053,53
Dare,"36,915","2,554","31,921",678,99,270,"1,393",0500000US37055,55
Davidson,"168,930","13,902","129,487","15,839",665,"2,483","6,554",0500000US37057,57
Davie,"42,712","3,375","34,809","2,413",96,282,"1,737",0500000US37059,59
Duplin,"48,715","10,813","24,945","11,437",154,159,"1,207",0500000US37061,61
Durham,"324,833","50,104","133,768","109,225",704,"16,790","14,242",0500000US37063,63
Edgecombe,"48,900","2,706","17,340","27,299",128,121,"1,306",0500000US37065,65
Forsyth,"382,590","54,688","208,126","93,738",978,"9,412","15,648",0500000US37067,67
Franklin,"68,573","6,962","42,285","15,785",259,469,"2,813",0500000US37069,69
Gaston,"227,943","20,068","153,653","39,762",753,"3,568","10,139",0500000US37071,71
Gates,"10,478",201,"6,705","3,022",64,31,455,0500000US37073,73
Graham,"8,030",219,"6,885",46,570,24,286,0500000US37075,75
Granville,"60,992","6,211","33,610","18,315",205,390,"2,261",0500000US37077,77
Greene,"20,451","2,936","9,644","7,206",95,37,533,0500000US37079,79
Guilford,"541,299","52,152","255,640","179,423","1,918","28,935","23,231",0500000US37081,81
Halifax,"48,622","1,454","19,070","24,737","1,593",292,"1,476",0500000US37083,83
Harnett,"133,568","18,899","77,876","26,769",978,"1,650","7,396",0500000US37085,85
Haywood,"62,089","2,829","55,685",656,308,361,"2,250",0500000US37087,87
Henderson,"116,281","14,999","91,747","3,299",284,"1,537","4,415",0500000US37089,89
Hertford,"21,552","1,579","6,721","12,215",188,116,733,0500000US37091,91
Hoke,"52,082","7,687","19,667","16,385","3,803",905,"3,635",0500000US37093,93
Hyde,"4,589",347,"2,928","1,152",7,9,146,0500000US37095,95
Iredell,"186,693","15,777","136,393","21,255",437,"4,776","8,055",0500000US37097,97
Jackson,"43,109","3,292","32,800",736,"3,849",507,"1,925",0500000US37099,99
Johnston,"215,999","34,400","136,464","33,041",880,"1,902","9,312",0500000US37101,101
Jones,"9,172",394,"5,787","2,564",42,32,353,0500000US37103,103
Lee,"63,285","13,122","36,055","10,701",231,686,"2,490",0500000US37105,105
Lenoir,"55,122","4,365","26,582","22,034",134,354,"1,653",0500000US37107,107
Lincoln,"86,810","6,412","71,661","4,405",237,707,"3,388",0500000US37109,109
McDowell,"44,578","2,947","37,788","1,707",136,388,"1,612",0500000US37111,111
Macon,"37,014","3,498","31,535",252,167,256,"1,306",0500000US37113,113
Madison,"21,193",748,"19,233",197,56,85,874,0500000US37115,115
Martin,"22,031",895,"11,528","8,868",69,99,572,0500000US37117,117
Mecklenburg,"1,115,482","169,922","498,683","324,832","2,730","72,114","47,201",0500000US37119,119
Mitchell,"14,903",701,"13,514",50,30,53,555,0500000US37121,121
Montgomery,"25,751","3,924","16,504","4,192",76,393,662,0500000US37123,123
Moore,"99,727","7,365","75,391","10,545",688,"1,296","4,442",0500000US37125,125
Nash,"94,970","7,322","46,317","36,679",615,932,"3,105",0500000US37127,127
New Hanover,"225,702","17,300","167,150","26,974",678,"3,616","9,984",0500000US37129,129
Northampton,"17,471",353,"6,835","9,649",43,31,560,0500000US37131,131
Onslow,"204,576","27,641","129,499","26,939","1,019","5,285","14,193",0500000US37133,133
Orange,"148,696","15,812","96,537","15,571",334,"12,658","7,784",0500000US37135,135
Pamlico,"12,276",496,"9,104","2,055",58,55,508,0500000US37137,137
Pasquotank,"40,568","2,237","21,577","14,316",150,486,"1,802",0500000US37139,139
Pender,"60,203","4,982","44,418","7,544",195,342,"2,722",0500000US37141,141
Perquimans,"13,005",309,"9,333","2,686",35,43,599,0500000US37143,143
Person,"39,097","2,195","25,132","9,879",240,132,"1,519",0500000US37145,145
Pitt,"170,243","12,968","86,837","59,813",494,"3,150","6,981",0500000US37147,147
Polk,"19,328","1,026","16,716",689,51,67,779,0500000US37149,149
Randolph,"144,171","19,051","108,354","8,592",666,"2,168","5,340",0500000US37151,151
Richmond,"42,946","3,072","23,610","12,770",994,367,"2,133",0500000US37153,153
Robeson,"116,530","11,757","29,159","26,218","43,536",960,"4,900",0500000US37155,155
Rockingham,"91,096","6,086","64,218","16,611",282,522,"3,377",0500000US37157,157
Rowan,"146,875","15,940","100,135","22,730",444,"1,576","6,050",0500000US37159,159
Rutherford,"64,444","3,286","52,026","5,836",152,366,"2,778",0500000US37161,161
Sampson,"59,036","12,249","29,729","13,944","1,002",234,"1,878",0500000US37163,163
Scotland,"34,174","1,106","14,247","13,094","3,705",354,"1,668",0500000US37165,165
Stanly,"62,504","3,086","48,645","7,000",210,"1,149","2,414",0500000US37167,167
Stokes,"44,520","1,456","39,609","1,619",140,169,"1,527",0500000US37169,169
Surry,"71,359","8,496","57,771","2,413",130,381,"2,168",0500000US37171,171
Swain,"14,117",592,"8,541",102,"4,030",63,789,0500000US37173,173
Transylvania,"32,986","1,698","28,542","1,027",102,195,"1,422",0500000US37175,175
Tyrrell,"3,245",272,"1,879",934,5,43,112,0500000US37177,177
Union,"238,267","30,110","161,113","26,500",641,"9,606","10,297",0500000US37179,179
Vance,"42,578","3,717","16,243","21,081",91,293,"1,153",0500000US37181,181
Wake,"1,129,410","128,241","645,020","204,535","2,760","97,118","51,736",0500000US37183,183
Warren,"18,642",739,"7,209","9,049",953,66,626,0500000US37185,185
Washington,"11,003",371,"4,958","5,350",15,40,269,0500000US37187,187
Watauga,"54,086","3,521","44,986","2,101",82,949,"2,447",0500000US37189,189
Wayne,"117,333","14,927","60,199","35,329",335,"1,613","4,930",0500000US37191,191
Wilkes,"65,969","4,654","56,316","2,580",86,329,"2,004",0500000US37193,193
Wilson,"78,784","9,024","36,106","29,842",239,910,"2,663",0500000US37195,195
Yadkin,"37,214","4,382","30,357","1,071",63,142,"1,199",0500000US37197,197
Yancey,"18,470","1,016","16,625",104,57,41,627,0500000US37199,199
,,,,,,,,,
"Source: US Census Bureau, 2020 Census, PL94-171",,,,,,,,,
NH = Non-Hispanic,,,,,,,,,
"Prepared by North Carolina Office of State Budget & Management, Demographic & Economic Section",,,,,,,,,